,State,Area_name,First Word of Each County,Abbreivation,# Employed,# Unemployed
360,Florida,"Hillsborough County, FL",Hillsborough,FloridaHillsborough,700764,53788
361,Florida,"Holmes County, FL",Holmes,FloridaHolmes,6472,378
362,Florida,"Indian River County, FL",Indian,FloridaIndian,59482,4751
363,Florida,"Jackson County, FL",Jackson,FloridaJackson,16298,933
364,Florida,"Jefferson County, FL",Jefferson,FloridaJefferson,5049,298
365,Florida,"Lafayette County, FL",Lafayette,FloridaLafayette,2664,117
366,Florida,"Lake County, FL",Lake,FloridaLake,140383,13645
367,Florida,"Lee County, FL",Lee,FloridaLee,320161,25256
368,Florida,"Leon County, FL",Leon,FloridaLeon,141883,8743
369,Florida,"Levy County, FL",Levy,FloridaLevy,15568,1001
370,Florida,"Liberty County, FL",Liberty,FloridaLiberty,2473,125
371,Florida,"Madison County, FL",Madison,FloridaMadison,7140,459
372,Florida,"Manatee County, FL",Manatee,FloridaManatee,164571,11925
373,Florida,"Marion County, FL",Marion,FloridaMarion,128709,9760
