,State,County,First Word of Each County,Abbreviation,Year,Max AQI,90th Percentile AQI,Median AQI
371,Maine,Knox,Knox,MaineKnox,2020,71,45,31
372,Maine,Oxford,Oxford,MaineOxford,2020,65,44,33
373,Maine,Penobscot,Penobscot,MainePenobscot,2020,73,44,29
374,Maine,Washington,Washington,MaineWashington,2020,61,44,33
375,Maine,York,York,MaineYork,2020,87,47,39
376,Maryland,Allegany,Allegany,MarylandAllegany,2020,9,3,1
377,Maryland,Anne Arundel,Anne,MarylandAnne,2020,108,49,32
378,Maryland,Baltimore,Baltimore,MarylandBaltimore,2020,105,57,39
379,Maryland,Baltimore (City),Baltimore,MarylandBaltimore,2020,97,51,34
380,Maryland,Calvert,Calvert,MarylandCalvert,2020,67,44,35
381,Maryland,Carroll,Carroll,MarylandCarroll,2020,84,49,39
382,Maryland,Cecil,Cecil,MarylandCecil,2020,97,49,34
383,Maryland,Charles,Charles,MarylandCharles,2020,58,44,34
384,Maryland,Dorchester,Dorchester,MarylandDorchester,2020,84,47,35
385,Maryland,Frederick,Frederick,MarylandFrederick,2020,90,49,40
386,Maryland,Garrett,Garrett,MarylandGarrett,2020,71,46,36
